Serie;id;Nombre;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;
Municipios;0284;Bustarviejo;2.846,00;1.314,00;5.184,00;3.697,00;572,00;393,00;580,00;390,00;748,00;719,00;1.051,00;969,00;906,00;877,00;810,00;517,00;616,00;491,00;458,00;560,00;
Municipios;0297;Cabanillas de la Sierra;568,00;490,00;326,00;279,00;277,00;253,00;171,00;178,00;191,00;157,00;178,00;215,00;159,00;160,00;156,00;116,00;209,00;245,00;237,00;193,00;
Municipios;0301;Cabrera (La);431,00;581,00;529,00;505,00;413,00;383,00;400,00;284,00;323,00;395,00;476,00;392,00;504,00;587,00;434,00;374,00;541,00;570,00;385,00;453,00;
Municipios;0318;Cadalso de los Vidrios;255,00;306,00;631,00;442,00;316,00;315,00;291,00;236,00;202,00;188,00;278,00;295,00;355,00;518,00;518,00;724,00;681,00;628,00;510,00;467,00;
Municipios;0323;Camarma de Esteruelas;5.082,00;4.013,00;4.064,00;4.878,00;4.110,00;3.328,00;2.209,00;2.036,00;2.083,00;2.398,00;2.153,00;2.332,00;2.897,00;2.777,00;2.514,00;2.344,00;3.167,00;1.756,00;1.556,00;2.345,00;
Municipios;0339;Campo Real;1.092,00;2.149,00;2.603,00;1.767,00;887,00;881,00;706,00;821,00;856,00;1.132,00;1.178,00;1.376,00;1.421,00;1.191,00;1.248,00;1.137,00;1.107,00;1.274,00;1.845,00;3.548,00;
Municipios;0344;Canencia;346,00;326,00;314,00;314,00;186,00;213,00;298,00;103,00;100,00;92,00;163,00;186,00;215,00;196,00;621,00;287,00;358,00;308,00;391,00;374,00;
Municipios;0357;Carabaña;232,00;220,00;239,00;185,00;206,00;113,00;153,00;159,00;128,00;132,00;139,00;203,00;215,00;226,00;480,00;190,00;530,00;521,00;309,00;275,00;
Municipios;0360;Casarrubuelos;442,00;404,00;623,00;819,00;734,00;777,00;1.525,00;930,00;677,00;987,00;2.304,00;5.622,00;5.306,00;3.610,00;3.596,00;2.033,00;2.096,00;1.922,00;1.794,00;2.236,00;
Municipios;0376;Cenicientos;463,00;684,00;600,00;695,00;372,00;264,00;299,00;419,00;925,00;595,00;612,00;433,00;917,00;843,00;946,00;482,00;353,00;478,00;298,00;233,00;
Municipios;0382;Cercedilla;1.217,00;1.514,00;1.548,00;2.223,00;1.701,00;1.495,00;1.485,00;1.361,00;1.453,00;1.138,00;1.377,00;1.435,00;1.611,00;1.513,00;1.768,00;1.270,00;1.807,00;1.752,00;1.457,00;1.374,00;
Municipios;0395;Cervera de Buitrago;271,00;129,00;230,00;114,00;131,00;82,00;56,00;41,00;48,00;44,00;59,00;69,00;253,00;184,00;113,00;84,00;120,00;253,00;146,00;111,00;
Municipios;0513;Chapinería;308,00;260,00;314,00;502,00;200,00;348,00;313,00;291,00;273,00;400,00;695,00;896,00;640,00;449,00;451,00;293,00;424,00;479,00;391,00;405,00;
Municipios;0528;Chinchón;1.288,00;1.494,00;1.377,00;1.191,00;1.359,00;1.520,00;1.499,00;1.504,00;1.550,00;1.619,00;2.651,00;2.947,00;2.557,00;3.312,00;3.187,00;1.890,00;2.283,00;2.015,00;1.344,00;1.206,00;
Municipios;0409;Ciempozuelos;4.620,00;7.001,00;7.998,00;7.727,00;6.916,00;5.463,00;5.643,00;4.817,00;5.324,00;5.961,00;6.664,00;6.187,00;8.798,00;8.958,00;8.617,00;7.891,00;8.876,00;8.089,00;6.714,00;7.197,00;
Municipios;0416;Cobeña;623,00;812,00;1.014,00;845,00;1.035,00;1.114,00;2.000,00;1.688,00;690,00;868,00;1.181,00;1.129,00;1.482,00;1.201,00;1.171,00;838,00;1.203,00;1.199,00;964,00;858,00;
Municipios;0468;Collado Mediano;1.394,00;1.607,00;1.208,00;1.016,00;880,00;814,00;1.931,00;1.409,00;600,00;674,00;784,00;928,00;910,00;978,00;1.082,00;736,00;909,00;971,00;863,00;1.215,00;
Municipios;0474;Collado Villalba;10.513,00;13.307,00;11.675,00;8.543,00;6.988,00;7.356,00;7.397,00;7.761,00;7.065,00;8.175,00;9.577,00;9.732,00;10.892,00;11.621,00;12.376,00;7.646,00;9.909,00;9.501,00;7.862,00;7.074,00;
Municipios;0455;Colmenar Viejo;8.288,00;9.074,00;10.485,00;10.848,00;7.495,00;7.586,00;6.957,00;7.465,00;6.658,00;5.926,00;6.956,00;7.304,00;8.563,00;9.890,00;11.040,00;8.782,00;9.150,00;9.193,00;7.666,00;7.934,00;
Municipios;0437;Colmenar de Oreja;2.123,00;1.703,00;1.942,00;1.170,00;892,00;843,00;1.233,00;858,00;1.083,00;894,00;775,00;858,00;917,00;927,00;808,00;879,00;1.146,00;1.071,00;966,00;792,00;
Municipios;0421;Colmenar del Arroyo;922,00;1.400,00;933,00;784,00;569,00;623,00;784,00;677,00;750,00;542,00;532,00;534,00;621,00;559,00;826,00;427,00;538,00;946,00;670,00;1.440,00;
Municipios;0442;Colmenarejo;774,00;1.009,00;925,00;760,00;732,00;689,00;682,00;585,00;520,00;583,00;613,00;696,00;696,00;902,00;806,00;821,00;1.231,00;1.009,00;814,00;881,00;
Municipios;0480;Corpa;75,00;99,00;108,00;58,00;81,00;90,00;69,00;71,00;59,00;41,00;43,00;66,00;63,00;44,00;50,00;42,00;110,00;99,00;103,00;92,00;
Municipios;0493;Coslada;35.835,00;33.799,00;33.891,00;25.529,00;17.607,00;19.675,00;19.436,00;16.317,00;13.690,00;16.126,00;17.552,00;20.216,00;22.299,00;27.248,00;26.850,00;29.210,00;35.942,00;33.680,00;23.501,00;22.444,00;
Municipios;0506;Cubas de la Sagra;593,00;883,00;957,00;753,00;667,00;571,00;479,00;587,00;591,00;899,00;813,00;633,00;542,00;664,00;1.195,00;925,00;2.053,00;1.153,00;3.010,00;1.077,00;
Municipios;0534;Daganzo de Arriba;2.989,00;4.664,00;4.769,00;4.166,00;2.586,00;3.059,00;2.997,00;2.721,00;3.630,00;3.533,00;4.016,00;4.107,00;3.910,00;4.352,00;4.756,00;2.960,00;5.087,00;4.075,00;3.523,00;3.687,00;
Municipios;0549;Escorial (El);1.754,00;2.244,00;1.854,00;1.728,00;1.738,00;1.719,00;1.548,00;1.677,00;1.405,00;1.630,00;1.890,00;2.426,00;3.321,00;3.291,00;2.092,00;1.474,00;1.872,00;2.116,00;1.812,00;1.723,00;
Municipios;0552;Estremera;165,00;396,00;713,00;434,00;200,00;195,00;226,00;179,00;278,00;318,00;288,00;251,00;298,00;366,00;502,00;686,00;720,00;673,00;624,00;681,00;
Municipios;0565;Fresnedillas de la Oliva;93,00;129,00;294,00;260,00;183,00;166,00;124,00;111,00;171,00;120,00;177,00;116,00;164,00;354,00;179,00;113,00;120,00;131,00;128,00;115,00;
Municipios;0571;Fresno de Torote;151,00;216,00;255,00;175,00;235,00;268,00;210,00;125,00;143,00;107,00;218,00;289,00;160,00;173,00;125,00;99,00;132,00;124,00;78,00;103,00;
Municipios;0587;Fuenlabrada;58.935,00;61.377,00;55.004,00;40.098,00;28.956,00;28.795,00;27.409,00;23.993,00;24.010,00;27.031,00;36.297,00;36.542,00;40.653,00;41.685,00;42.217,00;36.439,00;48.470,00;40.498,00;30.799,00;32.307,00;
Municipios;0590;Fuente el Saz de Jarama;1.046,00;1.493,00;1.570,00;1.147,00;712,00;770,00;812,00;972,00;1.126,00;846,00;941,00;1.199,00;1.048,00;1.057,00;1.026,00;731,00;1.132,00;1.707,00;888,00;915,00;
Municipios;0604;Fuentidueña de Tajo;176,00;315,00;268,00;268,00;313,00;381,00;427,00;384,00;331,00;481,00;268,00;259,00;245,00;540,00;342,00;386,00;456,00;291,00;190,00;206,00;
Municipios;0611;Galapagar;2.804,00;3.609,00;3.044,00;2.385,00;2.192,00;1.846,00;1.927,00;2.601,00;2.070,00;2.388,00;2.906,00;3.028,00;2.739,00;3.085,00;3.382,00;2.605,00;3.018,00;2.952,00;3.988,00;4.055,00;
Municipios;0626;Garganta de los Montes;37,00;68,00;61,00;38,00;78,00;54,00;41,00;16,00;54,00;89,00;60,00;66,00;53,00;45,00;43,00;28,00;46,00;36,00;41,00;40,00;
Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;12,00;35,00;24,00;25,00;41,00;46,00;40,00;27,00;48,00;48,00;63,00;49,00;61,00;99,00;71,00;35,00;73,00;111,00;66,00;81,00;
Municipios;0647;Gascones;50,00;54,00;43,00;43,00;31,00;25,00;36,00;14,00;20,00;36,00;29,00;58,00;53,00;45,00;44,00;38,00;67,00;50,00;48,00;60,00;
