Serie;id;Nombre;2013;2014;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;
Municipios;1375;Santos de la Humosa (Los);994,41;993,27;1.025,27;1.025,76;1.031,66;1.056,12;1.091,01;1.116,70;1.158,40;1.276,76;1.281,14;1.300,20;
Municipios;1381;Serna del Monte (La);938,57;919,90;812,70;974,07;1.095,62;1.207,35;1.148,28;1.028,30;1.060,40;1.068,18;1.068,18;1.132,35;
Municipios;1408;Serranillos del Valle;878,90;911,62;969,44;976,01;1.014,97;1.048,47;1.081,18;1.124,80;1.153,20;1.238,84;1.255,29;1.336,69;
Municipios;1415;Sevilla la Nueva;974,54;990,32;1.042,71;1.057,51;1.065,39;1.083,11;1.120,25;1.144,40;1.180,90;1.265,49;1.277,04;1.328,70;
Municipios;1436;Somosierra;906,70;922,99;945,81;942,57;944,91;961,89;1.011,92;1.009,40;1.077,40;946,11;994,06;1.166,15;
Municipios;1441;Soto del Real;1.113,75;1.156,47;1.194,85;1.218,65;1.232,56;1.280,98;1.343,64;1.385,20;1.415,80;1.483,44;1.496,17;1.571,18;
Municipios;1454;Talamanca de Jarama;923,47;985,63;1.019,19;1.007,57;1.022,32;1.061,79;1.099,40;1.118,10;1.155,30;1.232,01;1.239,77;1.313,97;
Municipios;1467;Tielmes;862,49;882,18;909,89;907,10;919,03;950,96;971,87;996,70;1.013,30;1.077,89;1.096,29;1.185,71;
Municipios;1473;Titulcia;942,29;960,83;982,56;977,29;968,30;985,82;1.074,08;1.090,80;1.117,20;1.141,67;1.155,51;1.228,34;
Municipios;1489;Torrejón de Ardoz;1.035,97;1.067,18;1.113,26;1.127,24;1.142,57;1.180,70;1.215,97;1.239,70;1.259,10;1.322,38;1.322,31;1.378,28;
Municipios;1505;Torrejón de Velasco;884,86;906,22;930,48;964,40;988,82;1.026,42;1.056,81;1.072,70;1.090,00;1.174,41;1.188,76;1.233,79;
Municipios;1492;Torrejón de la Calzada;987,93;1.006,50;1.048,06;1.063,41;1.091,14;1.127,03;1.177,87;1.178,00;1.193,80;1.274,78;1.288,44;1.346,36;
Municipios;1512;Torrelaguna;1.003,37;1.022,21;1.048,15;1.060,97;1.087,92;1.129,76;1.172,42;1.200,00;1.223,70;1.275,87;1.282,24;1.326,37;
Municipios;1527;Torrelodones;1.282,66;1.322,17;1.356,73;1.385,23;1.404,10;1.455,05;1.505,02;1.554,90;1.591,70;1.679,72;1.685,40;1.756,24;
Municipios;1533;Torremocha de Jarama;877,35;974,10;1.107,67;1.172,16;1.161,63;1.167,66;1.235,71;1.309,10;1.359,30;1.406,95;1.417,99;1.471,68;
Municipios;1548;Torres de la Alameda;924,13;956,27;1.003,88;1.016,11;1.042,03;1.078,74;1.108,94;1.136,60;1.164,00;1.247,81;1.259,54;1.315,69;
Municipios;9036;Tres Cantos;1.332,53;1.368,88;1.429,18;1.461,50;1.496,13;1.552,77;1.609,50;1.660,50;1.697,60;1.793,70;1.807,20;1.892,72;
Municipios;1551;Valdaracete;764,78;792,06;810,71;839,48;863,64;884,45;923,21;937,40;947,60;1.008,41;1.033,28;1.057,41;
Municipios;1564;Valdeavero;981,14;994,54;1.047,17;1.024,75;1.050,37;1.116,55;1.124,50;1.174,90;1.157,80;1.270,54;1.290,96;1.381,59;
Municipios;1570;Valdelaguna;788,75;802,44;835,14;840,14;829,49;846,80;883,71;898,30;922,40;997,84;1.022,37;1.092,64;
Municipios;1586;Valdemanco;799,12;824,49;862,00;878,07;869,87;898,64;919,91;949,70;997,60;1.115,88;1.137,13;1.200,61;
Municipios;1599;Valdemaqueda;808,97;829,95;872,43;858,96;869,77;910,59;956,93;984,40;987,70;1.077,81;1.115,50;1.152,06;
Municipios;1603;Valdemorillo;1.106,23;1.144,98;1.175,60;1.205,72;1.226,56;1.259,28;1.298,67;1.330,40;1.356,30;1.439,73;1.452,42;1.512,16;
Municipios;1610;Valdemoro;969,09;993,31;1.027,84;1.044,03;1.057,07;1.090,75;1.131,12;1.154,60;1.174,10;1.244,58;1.254,36;1.313,90;
Municipios;1625;Valdeolmos-Alalpardo;1.137,14;1.182,39;1.229,76;1.236,02;1.248,38;1.294,07;1.325,94;1.363,40;1.370,10;1.460,35;1.475,89;1.530,45;
Municipios;1631;Valdepiélagos;865,94;907,07;934,30;929,47;945,99;960,65;1.010,96;1.003,60;1.000,60;1.133,72;1.104,03;1.193,55;
Municipios;1646;Valdetorres de Jarama;920,10;943,95;961,27;971,10;992,48;1.018,17;1.061,10;1.077,00;1.115,70;1.185,57;1.206,95;1.263,92;
Municipios;1659;Valdilecha;851,85;876,47;887,74;899,05;915,47;959,52;985,50;1.002,40;1.017,90;1.093,19;1.104,95;1.156,12;
Municipios;1662;Valverde de Alcalá;837,26;890,55;927,80;936,16;962,75;965,21;1.019,70;1.019,40;1.054,20;1.080,13;1.129,95;1.225,93;
Municipios;1678;Velilla de San Antonio;989,58;1.024,21;1.053,70;1.083,02;1.112,20;1.146,88;1.194,31;1.214,80;1.249,40;1.345,49;1.343,69;1.399,32;
Municipios;1684;Vellón (El);843,84;881,13;902,23;921,49;918,58;953,55;1.007,36;1.030,00;1.037,60;1.129,76;1.142,48;1.210,47;
Municipios;1697;Venturada;1.163,19;1.202,85;1.258,32;1.247,91;1.264,31;1.342,78;1.423,36;1.474,80;1.512,30;1.564,75;1.592,49;1.651,18;
Municipios;1718;Villa del Prado;846,74;869,61;897,30;919,08;937,26;979,92;1.019,57;1.034,50;1.063,40;1.131,77;1.137,57;1.214,17;
Municipios;1701;Villaconejos;750,27;768,55;786,41;807,76;817,20;847,73;881,15;903,20;927,50;1.003,44;1.008,19;1.081,76;
